    vel     TPCF     minus_error     plus_error
    5.00000     0.08443     0.07929     0.09534
   15.00000     0.08460     0.08005     0.09448
   25.00000     0.08138     0.07582     0.08982
   35.00000     0.07886     0.07483     0.08550
   45.00000     0.07469     0.06999     0.07965
   55.00000     0.07122     0.06784     0.07515
   65.00000     0.06744     0.06426     0.07076
   75.00000     0.06327     0.06144     0.06501
   85.00000     0.05844     0.05680     0.05941
   95.00000     0.05352     0.05179     0.05449
  105.00000     0.04818     0.04612     0.04955
  115.00000     0.04184     0.03897     0.04299
  125.00000     0.03642     0.03228     0.03866
  135.00000     0.03091     0.02647     0.03312
  145.00000     0.02612     0.02130     0.02897
  155.00000     0.02192     0.01720     0.02458
  165.00000     0.01833     0.01372     0.02126
  175.00000     0.01504     0.01099     0.01783
  185.00000     0.01220     0.00852     0.01458
  195.00000     0.00963     0.00625     0.01216
  205.00000     0.00705     0.00419     0.00907
  215.00000     0.00530     0.00282     0.00755
  225.00000     0.00361     0.00162     0.00539
  235.00000     0.00238     0.00075     0.00410
  245.00000     0.00142     0.00029     0.00264
  255.00000     0.00089     0.00003     0.00199
  265.00000     0.00051     0.00003     0.00125
  275.00000     0.00026     0.00002     0.00066
  285.00000     0.00012     0.00004     0.00041
  295.00000     0.00002     0.00002     0.00012
  305.00000     0.00000     0.00000     0.00001
