    vel     TPCF     minus_error     plus_error
    5.00000     0.08439     0.07677     0.09734
   15.00000     0.08234     0.07456     0.09388
   25.00000     0.07830     0.07107     0.08812
   35.00000     0.07366     0.06722     0.08147
   45.00000     0.06811     0.06253     0.07411
   55.00000     0.06246     0.05738     0.06701
   65.00000     0.05682     0.05214     0.06034
   75.00000     0.05138     0.04665     0.05446
   85.00000     0.04644     0.04159     0.04975
   95.00000     0.04146     0.03689     0.04422
  105.00000     0.03721     0.03304     0.03986
  115.00000     0.03330     0.02964     0.03571
  125.00000     0.02992     0.02668     0.03241
  135.00000     0.02696     0.02365     0.02965
  145.00000     0.02497     0.02162     0.02791
  155.00000     0.02332     0.01992     0.02646
  165.00000     0.02182     0.01830     0.02520
  175.00000     0.02019     0.01641     0.02382
  185.00000     0.01884     0.01498     0.02251
  195.00000     0.01745     0.01365     0.02106
  205.00000     0.01606     0.01243     0.01950
  215.00000     0.01446     0.01105     0.01765
  225.00000     0.01272     0.00967     0.01548
  235.00000     0.01120     0.00854     0.01360
  245.00000     0.00941     0.00708     0.01139
  255.00000     0.00776     0.00577     0.00949
  265.00000     0.00604     0.00436     0.00758
  275.00000     0.00442     0.00305     0.00578
  285.00000     0.00318     0.00208     0.00436
  295.00000     0.00237     0.00145     0.00341
  305.00000     0.00186     0.00108     0.00276
  315.00000     0.00155     0.00081     0.00237
  325.00000     0.00127     0.00054     0.00206
  335.00000     0.00111     0.00041     0.00186
  345.00000     0.00115     0.00045     0.00188
  355.00000     0.00112     0.00043     0.00180
  365.00000     0.00105     0.00039     0.00167
  375.00000     0.00101     0.00041     0.00158
  385.00000     0.00094     0.00041     0.00146
  395.00000     0.00083     0.00038     0.00129
  405.00000     0.00063     0.00029     0.00097
  415.00000     0.00036     0.00015     0.00055
  425.00000     0.00017     0.00005     0.00026
  435.00000     0.00003     0.00001     0.00004
