    vel     TPCF     minus_error     plus_error
    5.00000     0.10264     0.08898     0.13775
   15.00000     0.10046     0.08755     0.13142
   25.00000     0.09323     0.08214     0.11663
   35.00000     0.08710     0.07901     0.10376
   45.00000     0.07930     0.07229     0.08982
   55.00000     0.07321     0.06836     0.07783
   65.00000     0.06631     0.06072     0.06917
   75.00000     0.06023     0.05306     0.06308
   85.00000     0.05415     0.04548     0.05777
   95.00000     0.04674     0.03640     0.05118
  105.00000     0.04025     0.02869     0.04595
  115.00000     0.03330     0.02160     0.03891
  125.00000     0.02831     0.01624     0.03441
  135.00000     0.02307     0.01225     0.02832
  145.00000     0.02033     0.01037     0.02556
  155.00000     0.01737     0.00916     0.02133
  165.00000     0.01481     0.00786     0.01856
  175.00000     0.01243     0.00677     0.01573
  185.00000     0.01008     0.00569     0.01253
  195.00000     0.00816     0.00440     0.01067
  205.00000     0.00640     0.00334     0.00839
  215.00000     0.00507     0.00244     0.00704
  225.00000     0.00389     0.00181     0.00528
  235.00000     0.00327     0.00150     0.00466
  245.00000     0.00258     0.00116     0.00363
  255.00000     0.00242     0.00107     0.00356
  265.00000     0.00168     0.00066     0.00253
  275.00000     0.00120     0.00041     0.00176
  285.00000     0.00086     0.00023     0.00130
  295.00000     0.00056     0.00008     0.00084
  305.00000     0.00035     0.00002     0.00051
  315.00000     0.00019     0.00000     0.00028
  325.00000     0.00007     0.00001     0.00010
  335.00000     0.00001     0.00000     0.00001
