    vel     TPCF     minus_error     plus_error
    5.00000     0.07560     0.07177     0.08348
   15.00000     0.07503     0.07071     0.08255
   25.00000     0.07260     0.06812     0.07941
   35.00000     0.07005     0.06570     0.07630
   45.00000     0.06669     0.06254     0.07216
   55.00000     0.06324     0.05942     0.06774
   65.00000     0.05967     0.05615     0.06358
   75.00000     0.05543     0.05221     0.05849
   85.00000     0.05128     0.04839     0.05376
   95.00000     0.04706     0.04443     0.04919
  105.00000     0.04304     0.04081     0.04469
  115.00000     0.03897     0.03716     0.04007
  125.00000     0.03510     0.03328     0.03634
  135.00000     0.03128     0.02914     0.03269
  145.00000     0.02767     0.02517     0.02932
  155.00000     0.02446     0.02175     0.02636
  165.00000     0.02180     0.01891     0.02389
  175.00000     0.01941     0.01625     0.02178
  185.00000     0.01753     0.01427     0.02004
  195.00000     0.01571     0.01232     0.01833
  205.00000     0.01396     0.01052     0.01661
  215.00000     0.01225     0.00898     0.01482
  225.00000     0.01053     0.00749     0.01290
  235.00000     0.00914     0.00632     0.01134
  245.00000     0.00782     0.00527     0.00979
  255.00000     0.00669     0.00440     0.00851
  265.00000     0.00560     0.00362     0.00726
  275.00000     0.00456     0.00289     0.00608
  285.00000     0.00362     0.00223     0.00496
  295.00000     0.00284     0.00166     0.00401
  305.00000     0.00225     0.00123     0.00330
  315.00000     0.00184     0.00092     0.00277
  325.00000     0.00148     0.00067     0.00229
  335.00000     0.00121     0.00048     0.00187
  345.00000     0.00101     0.00035     0.00154
  355.00000     0.00082     0.00021     0.00127
  365.00000     0.00068     0.00010     0.00106
  375.00000     0.00059     0.00008     0.00094
  385.00000     0.00051     0.00007     0.00081
  395.00000     0.00043     0.00006     0.00068
  405.00000     0.00031     0.00004     0.00049
  415.00000     0.00017     0.00001     0.00028
  425.00000     0.00008     0.00000     0.00013
  435.00000     0.00001     0.00000     0.00002
